first_name,last_name,hired,num1,num2
Douglas,Boehm,NO,414,1
Peter,Mallen,NO,118,1
Amber,Smith,YES,270,0
Katherine,Land,YES,326,1
Diana,Gomes,YES,123,1
Cheryl,Mullins,NO,474,0
Kent,Truiolo,YES,321,0
Darrel,Yepsen,NO,281,1
James,Accardo,YES,94,0
Alice,Chauarria,YES,85,1
Harriet,Gibbs,YES,385,0
Bobby,Bailey,YES,376,1
Edward,Johnson,NO,337,1
Evelyn,Pearson,NO,187,1
Herman,Bell,NO,463,1
Mary,Tachauer,YES,-,0
Kenny,Mcnabb,YES,497,1
Beatrice,Catlett,NO,234,1
Molly,Bassett,NO,4,1
Cleveland,Hurt,NO,415,1
Yvonne,James,NO,159,1
Betty,Tiemann,NO,367,0
Jose,Rogers,YES,70,0
Angelica,Smith,NO,396,1
Ivory,Chisholm,NO,73,0
Kenneth,Holliday,YES,475,1
Kevin,Hazelip,YES,63,0
Gary,Hardy,YES,153,0
Randy,Caison,NO,449,-
Carlton,Tung,NO,72,0
Ashley,Mcpherson,NO,437,0
Donna,Faust,YES,315,1
Kathleen,Battle,NO,421,0
Margaret,Heisler,YES,314,1
Ada,Hamm,YES,259,0
Brandon,Fernandez,YES,347,0
William,Chapman,YES,179,1
Richard,Marquez,NO,221,0
Sandra,-,NO,447,1
Manuel,Raminez,YES,246,1
Nicole,Omara,NO,207,1
April,Brooks,NO,394,1
Ralph,Wilcox,NO,79,1
Kevin,Phillips,-,396,0
Howard,Roberts,YES,489,1
Ellen,Deaton,NO,54,1
Kevin,Queen,NO,494,1
Eve,Lafond,NO,380,0
Charles,Petersen,YES,253,0
Alexis,English,YES,406,0
